Name			 Reference link			 Bio			 Courses Taught
Name:Mohamed Sarwat			 Link:https://isearch.asu.edu/profile/2412294			 Bio:Mohamed Sarwat is an assistant professor of computer science, the director of the Data Systems (DataSys) lab, and an affiliate member of the Center for Assured and Scalable Data Engineering (CASCADE) at Arizona State University (ASU). Before joining ASU, Sarwat obtained his master's and doctoral degrees in computer science from the University of Minnesota in 2011 and 2014, respectively. His research interest lies in the broad area of data management systems. Sarwat is a recipient of the University of Minnesota doctoral dissertation fellowship. His research work has been recognized by two best research paper awards in the IEEE 16th International Conference on Mobile Data Management (MDM 2015) and the 12th International Symposium on Spatial and Temporal Databases (SSTD 2011). His vision paper on GeoViz-aware database systems received the Computing Community Consortium (CCC) Blue Sky Ideas award for best vision papers (3rd place) in the 15th International Symposium on Spatial and Temporal Databases (SSTD 2017). His paper on building a scalable location-aware recommender system received a Best of Conference citation in the IEEE 28th International Conference on Data Engineering (ICDE 2012). Sarwat is also the lead architect of GeoSpark (A System For Processing Massive-Scale Geospatial Data in Apache Spark) and RecDB (A Recommendation-based Relational Database System). He is a member of the GeoInformatica journal editorial board and has served as a reviewer / program committee member for major data management and spatial computing venues that include but are not limited to PVLDB, SIGMOD, ICDE, GIS, SSTD, TKDE, TODS, TSAS.			Course Taught:CSE 493Honors Thesis, CSE 584Internship, CSE 598Special Topics, CSE 492Honors Directed Study, CSE 590Reading and Conference, CSE 412Database Management, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, CEN 599Thesis, CSE 599Thesis, CEN 584Internship, CSE 595Continuing Registration, CEN 595Continuing Registration, CSE 799Dissertation, CSE 580Practicum, CSE 795Continuing Registration, CSE 512Distributed Database Systems
Name:Hasti Seifi			 Link:https://search.asu.edu/profile/4383315			 Bio:Hasti Seifi is an assistant professor in the School of Computing and Augmented Intelligence. Previously, she was an assistant professor at the University of Copenhagen. Her research is at the intersection of human-computer interaction, haptics and social robotics. Her work was recognized by a postdoctoral fellowship in 2018 from the Natural Sciences and Engineering Research Council of Canada; the EuroHaptics Best Ph.D. Award (2017); and a Maria Klawe award for her efforts in computer science diversity and outreach (2017).			Course Taught:CSE 598Special Topics, CSE 590Reading and Conference, Course NumberCourse Title, CEN 599Thesis, CSE 599Thesis, CSE 499Individualized Instruction, CSE 792Research, CSE 580Practicum, CSE 463Intro Human Computer Interactn
Name:Justin Selgrad			 Link:https://isearch.asu.edu/profile/2076616			 Bio:Justin Selgrad became an assistant teaching professor in the School of Computing and Augmented Intelligence at Arizona State University in 2015. His research interests include game mechanics, path planning, perception and game AI.			Course Taught:CSE 493Honors Thesis, AME 499Individualized Instruction, CSE 205Object-Oriented Program & Data, ASU 101-CAIThe ASU Experience, CPI 211Game Development II, CSE 240Intro to Programming Languages, CPI 499Individualized Instruction, CSE 492Honors Directed Study, CPI 310Web Information Mgt System, CPI 394Special Topics, CPI 111Game Development I, CSE 499Individualized Instruction, CPI 221Advan Obj Orient Prin w/Java, CSE 580Practicum, CSE 220Programming for Computer Engr, CPI 493Honors Thesis, CPI 492Honors Directed Study, Course NumberCourse Title, ASU 101-CSEThe ASU Experience
Name:Arunabha Sen			 Link:https://isearch.asu.edu/profile/40210			 Bio:Professor Arunabha Sen joined ASU in 1987. Sen’s teaching focuses on networks and algorithms. His research looks at resource optimization problems in telecommunication networks. He also works on physical design of VLSI circuits, hardware-software co-design and network security. His research interests include resource optimization in optical, wireless and sensor networks, video transmission over mobile ad-hoc networks, network processors, system/network on chip design, combinatorial optimization, algorithm design and analysis.			Course Taught:CSE 584Internship, CSE 590Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CSE 572Data Mining, CSE 550Combinatorial Algorithms/Intrt, CSE 599Thesis, CSE 450Design&Analysis of Algorithms, CSE 551Foundations of Algorithms, CEN 584Internship, CSE 792Research, ASU 101-CSEThe ASU Experience, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Paulo Shakarian			 Link:https://isearch.asu.edu/profile/2424157			 Bio:Paulo Shakarian, Ph.D. is a tenured Associate Professor at the Fulton Schools of Engineering at Arizona State University.  He specializes in artificial intelligence and machine learning – publishing numerous scientific books and papers.  Shakarian was named a “KDD Rising Star,” received the Air Force Young Investigator award, received multiple “best paper” awards and has been featured in major news media outlets such as CNN and The Economist.  Paulo also co-founded and led the startup company Cyber Reconnaissance, Inc. – which was the first commercial solution to use machine learning to predict future exploits.  The company raised over $8 million in venture capital, obtained over 80 customers, and was eventually acquired by Cyber Security Works.  Earlier in his career, Paulo was an officer in the U.S. Army where he served two combat tours in Iraq, earning a Bronze Star and the Army Commendation Medal for Valor.  During his military career, Paulo also served as a DARPA Fellow and as an advisor to IARPA.  He holds a Ph.D. and M.S. in computer science from the University of Maryland, College Park, and a B.S. in computer science from West Point.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CEN 799Dissertation, ASU 101-CAIThe ASU Experience, CSE 492Honors Directed Study, CSE 475Found of Machine Learning, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CSE 494Special Topics, CEN 795Continuing Registration, DSE 792Research, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, CSE 591Seminar, ASU 101-CSEThe ASU Experience, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Yan Shoshitaishvili			 Link:https://isearch.asu.edu/profile/3153940			 Bio:Yan Shoshitaishvili is an Assistant Professor at Arizona State University, where he pursues parallel passions of cybersecurity research, real-world impact, and education. His research focuses on automated program analysis and vulnerability detection techniques. Aside from publishing dozens of research papers in top academic venues, Yan led Shellphish’s participation in the DARPA Cyber Grand Challenge, achieving the creation of a fully autonomous hacking system that won third place in the competition. Underpinning much of his research is angr, the open-source program analysis framework created by Yan and his collaborators. This framework has powered hundreds of research papers, helped find thousands of security bugs, and continues to be used in research labs and companies around the world. When he is not doing research, Yan participates in the enthusiast and educational cybersecurity communities. He is a Captain Emeritus of Shellphish, one of the oldest ethical hacking groups in the world, and a founder of the Order of the Overflow, with whom he ran DEF CON CTF, the “world championship” of cybersecurity competitions, from 2018 through 2021. Now, he helps demystify the hacking scene as a co-host of the CTF RadiOOO podcast and forge connections between the government and the hacking community through his participation on CISA’s Technical Advisory Council. In order to inspire students to pursue cybersecurity (and, ultimately, compete at DEF CON!), Yan created pwn.college, an open practice-makes-perfect learning platform that is revolutionizing cybersecurity education for aspiring hackers around the world.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CSE 466Computer Systems Security, CSE 492Honors Directed Study, CSE 691Seminar, CSE 599Thesis, CSE 499Individualized Instruction, CSE 590Reading and Conference, CSE 194Special Topics, CSE 494Special Topics, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 591Seminar, ASU 101-CSEThe ASU Experience, CSE 792Research, CSE 799Dissertation
Name:Aviral Shrivastava			 Link:https://isearch.asu.edu/profile/969623			 Bio:Aviral Shrivastava is a full Professor in the School of Computing and Augmented Intelligence (SCAI) at the Arizona State University, where he established and heads the Make Programming Simple Lab. He completed his Ph.D. in Information and Computer Science and from the University of California, Irvine, and bachelor’s in Computer Science and Engineering from IIT Delhi. Prof. Shrivastava’s main theme of research in on making programming simple for embedded and cyber-physical systems. Prof. Shrivastava and his students have proposed novel computer architectures and compiler transformations for hardware error-tolerant computing, multicore computing, accelerated computing. They have also proposed languages, code generation and runtime for expressing and efficiently executing time-sensitive distributed intelligent applications. Prof. Shrivastava has co-authored 1 book, and has contributed chapters in 4 books. He has more than 120 articles and conference papers in top embedded system journals and conferences, like DAC, ESWEEK, ACM TECS, and ACM TCPS. His papers have received several awards, including nomination for best paper at DAC 2017, best student paper award at VLSI 2016, second highest ranked paper at LCTES 2010, and best paper candidate ASPDAC 2008. He published at least one paper every year at DAC (the top conference in the field) in the last decade (2011 to 2019). Overall, his works have received more than 3000 citations, growing at the rate of over 200 citations every year. His i50-index  is 14, i10-index  is 84, and h-index  is 31 (reference Google Scholar). His inventions have been granted 5 patents, and 5 more applications are pending. Prof. Shrivastava is the recipient of the prestigious 2010 NSF CAREER award. His student’s theses were awarded CIDSE outstanding Ph.D. thesis award in 2021 and 2017 and outstanding Master’s thesis awards in 2011 and 2014. Prof. Shrivastava’s research efforts have been supported by federal agencies (NSF, DOE, NIST), state funding agencies (SFAZ), as well as industry. His research portfolio is about $3.5M to date. Prof. Shrivastava has mentored 2 postdocs, 9 Ph.D. students, and over 20 Masters students. His students are very well placed, including a full Professor at UNIST, South Korea, Assistant Professor at SJSU, ARM research lab, Google, Synopsys, Apple (x2), Qualcomm, Cadence etc.) Prof. Shrivastava is currently supervising 3 Ph.D., and 5 Masters students. Prof. Shrivastava teaches undergraduate and graduate level courses on computer organization, computer architecture, and embedded systems, and has student evaluations averaging over 4/5. He revamped the computer organization and computer Architecture courses at ASU to shift the focus towards processor design instead of assembly language programming and included modules about modern multicore architectures. He has redesigned the embedded systems course around projects in which students build an autonomously driving car, culminating in an autonomous car race! Prof. Shrivastava is currently the General Chair of Embedded Systems Week (ESWEEK), which is the top event in the field of Embedded Systems, comprising of several conferences, symposia and workshops. He also serves in the Steering committee of the Languages Compilers, Theory and tools for Embedded Systems (LCTES). Currently, he is the deputy Editor-in-Chief of IEEE Embedded Systems Letters (IEEE ESL), and associate editor for ACM Transactions of Cyber-Physical Systems (ACM TCPS), ACM Transactions Embedded Computing Systems (ACM TECS), and the IEEE Transactions on Computer Aided Design (IEEE TCAD). Previously he has served as the program chair of CODES+ISSS 2017 and 2018, LCTES 2019, and chair of the Design and Applications track of RTSS 2020.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CEN 799Dissertation, MAE 595Continuing Registration, MAE 599Thesis, EEE 595Continuing Registration, CEN 598Special Topics, CSE 420Computer Architecture I, CSE 492Honors Directed Study, EEE 599Thesis, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 325Embedded Microprocessor System, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CSE 520Computer Architecture II, CEN 795Continuing Registration, EEE 499Individualized Instruction, EGR 592Research, EEE 590Reading and Conference, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, EGR 599Thesis, CSE 584Internship, CEN 690Reading and Conference, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, CEN 592Research, EGR 593Applied Project, ASU 101-CSEThe ASU Experience, CSE 792Research, CEN 595Continuing Registration, CSE 799Dissertation, CEN 792Research
Name:Siddharth Srivastava			 Link:https://isearch.asu.edu/profile/3169276			 Bio:Please visit Prof. Srivastava's research website here.			Course Taught:CSE 493Honors Thesis, MAE 599Thesis, CSE 492Honors Directed Study, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 590Reading and Conference, CSE 574Planning/Learning Methods AI, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 471Intro Artificial Intelligence, CSE 792Research, CEN 595Continuing Registration, CSE 799Dissertation, CSE 571Artificial Intelligence
Name:Vijay Suthar			 Link:https://isearch.asu.edu/profile/2636984			 Bio:			Course Taught:SER 334Operating Systems and Networks, CSE 230Computer Org/Assemb Lang Prog, CSE 194Special Topics, CSE 408Multimedia Information Systems, SER 401Computing Capstone I, SER 416Software Enterprise: Proj&Proc, Course NumberCourse Title, CSE 110Principles of Programming, SER 580Practicum, SER 402Computing Capstone II, SER 334Operating Systems&System Prog
Name:Violet Syrotiuk			 Link:https://isearch.asu.edu/profile/518662			 Bio:Violet Syrotiuk is an associate professor in the School of Computing and Augmented Intelligence at Arizona State University. She studies complex engineered networks. One of her interests is medium access control (MAC) protocols for wireless networks and their implementation on the new programmable radio platforms. Another major interest is in dynamic optimization of the radio and/or network parameters to find the best configuration given the wireless network's operating environment. Her work has been funded by NSF, DARPA, LANL, Raytheon, Raytheon BBN, General Dynamics, and DSTO (Australia). She serves on the editorial boards of the journals Computer Networks (Elsevier) and Computer Communications (Elsevier), and on the technical program committees of major conferences sponsored by the IEEE and ACM.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, TGM 410Data Structures and Algorithms, CSE 531Distrib/Multiprocess Oper Sys, CSE 492Honors Directed Study, CSE 330Operating Systems, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CSE 534Advanced Computer Networks, CEN 795Continuing Registration, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, CSE 310Data Structures and Algorithms, Course NumberCourse Title, CSE 434Computer Networks, CEN 590Reading and Conference, CSE 792Research, CEN 595Continuing Registration, CSE 799Dissertation, CEN 792Research
Name:Farideh Tadayon-Navabi			 Link:https://isearch.asu.edu/profile/71640			 Bio:Farideh Tadayon-Navabi is a principal lecturer in the School of Computing, Informatics, and Decision System Engineering.  Prior to ASU, she held a teaching position at University of Louisiana in Monroe. Tadayon-Navabi’s interested in improving the undergraduate program curriculum. She works on developing strategies to help students succeed in introductory courses and to retain students in the program. Her research focuses on computer science education, programming languages and software development.			Course Taught:CSE 493Honors Thesis, CSE 205Object-Oriented Program & Data, CSE 492Honors Directed Study, Course NumberCourse Title, CSE 110Principles of Programming, CSE 100Prin of Programming with C++, CEN 580Practicum, CSE 499Individualized Instruction, ASU 101-CSEThe ASU Experience, CSE 580Practicum, ASU 101-CAIThe ASU Experience
Name:Ni Trieu			 Link:https://isearch.asu.edu/profile/3720292			 Bio:			Course Taught:CSE 598Special Topics, CSE 790Reading and Conference, Course NumberCourse Title, CSE 539Applied Cryptography, CSE 355Intro Theoretical Computer Sci, CSE 599Thesis, CSE 792Research, CSE 580Practicum, CSE 795Continuing Registration
Name:Wei-Tek Tsai			 Link:https://isearch.asu.edu/profile/258423			 Bio:			Course Taught:CSE 790Reading and Conference, Course NumberCourse Title, CSE 599Thesis, CSE 590Reading and Conference, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Joseph Urban			 Link:https://isearch.asu.edu/profile/52626			 Bio:Joseph E. Urban is professor emeritus of computer science at Arizona State University. He has worked at Texas Tech University, the University of Miami, the University of Louisiana at Lafayette, and part-time at the University of South Carolina while with the U. S. Army Signal Center. He served as a program director in the U.S. National Science Foundation on an Intergovernmental Personnel Act mobility assignment within the Division of Computing and Communication Foundations of the Directorate for Computer and Information Science and Engineering and as the deputy division director in the Division of Computer and Network Systems.  He has published 136 conference, journal and book chapter publications. He has supervised 85 graduate student doctoral dissertations, master’s theses, master’s projects and master’s scholarly papers. He has supervised the development of nine software specification languages. His research areas include software engineering, executable specification languages, prototyping software systems, web-based software tools, cybersecurity, computer languages, data engineering, and distributed computing. His research efforts have been supported through industry, state, and federal sources. He served on the Air Force Studies Board (AFSB) of the National Research Council and was a member of two AFSB software engineering studies and one AFSB robotics study. He is an ABET program evaluator in computer science. He was the IEEE Computer Society’s International Federation for Information Processing (IFIP) Technical Committee (TC) 2 – Software: Theory and Practice representative.  He was a member of the Mississippi State University College of Engineering and Department of Computer Science and Engineering Advisory Boards. He chaired the IEEE Computer Society Technical Committee on Distributed Processing.  He was twice elected to the IEEE Computer Society Board of Governors, chair of the Awards Committee, and a Computer Society representative on the IEEE Publications Board and Technical Activities Board's Finance Committee. He was elected the Computer Society's second and first vice president responsible for conferences and tutorials, and treasurer and Finance Committee chair.  He initiated and chaired the IEEE Computer Society's Technical Committee on Computer Languages and chaired the Publications Planning Committee. He chaired and lectured in the Computer Society Chapter Tutorials and Distinguished Visitors Programs. In addition, he served as general chair / co-chair for ten conferences and program chair / co-chair for seven conferences. He also served on the Editorial Boards of IEEE Transactions on Software Engineering, IEEE Expert, World Scientific International Journal of Software Engineering & Knowledge Engineering, ACTA Press International Journal of Software Engineering, and as a guest editor for six special issues of journals. He has received the Computer Society’s Meritorious and Distinguished Service Awards, a Distinguished Professor Award while at the University of Louisiana at Lafayette, and an Association for Computing Machinery Doctoral Dissertation Award.			Course Taught:
Name:Kurt VanLehn			 Link:https://isearch.asu.edu/profile/1203192			 Bio:Kurt VanLehn is the Diane and Gary Tooker Chair for Effective Education in Science, Technology, Engineering and Math in the Ira A. Fulton Schools of Engineering at Arizona State University. He received a doctorate from Massachusetts Institute of Technology in 1983 in computer science, was a postdoctoral fellowship at BBN and Xerox PARC, joined the faculty of Carnegie-Mellon University in 1985, moved to the University of Pittsburgh in 1990 and joined ASU in 2008. He founded and co-directed two large National Sciences Foundation research centers (Circle; the Pittsburgh Science of Learning Center). He has published more than 125 peer-reviewed publications, is a fellow in the Cognitive Science Society, and is on the editorial boards of Cognition and Instruction and the International Journal of Artificial Intelligence in Education. VanLehn's research focuses on intelligent tutoring systems, classroom orchestration systems, and other intelligent interactive instructional technology.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, EDT 792Research, CPI 360Decision Making & Problem Solv, CSE 492Honors Directed Study, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CEN 795Continuing Registration, CSE 595Continuing Registration, CSE 580Practicum, EDT 799Dissertation, CSE 795Continuing Registration, CPI 484Internship, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CEN 592Research, ASU 101-CSEThe ASU Experience, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Sarma Vrudhula			 Link:https://isearch.asu.edu/profile/761142			 Bio:Sarma Vrudhula is a professor in the School of Computing and Augmented Intelligence  at Arizona State University. He received a bachelor's degree in mathematics from the University of Waterloo, Ontario, Canada, in 1976, majoring in computer science and mathematical statistics. He moved to Venice CA in 1977 and while enrolled as a graduate student at in EE-Systems department at the University of Southern California, worked as a research assistant in USC Information Sciences Institute in Marina Del Rey, CA.  He received his master's and doctoral degrees in electrical engineering from the University of Southern California in 1980 and 1985, respectively. During 1985-1992, he was on the faculty of the EE-Systems department of the University of Southern California. From 1992 to 2005, he was a professor in the Electrical and Computer Engineering department at the University of Arizona. During that period, he was the founding director of the NSF UA/ASU Center for Low Power Electronics. He joined ASU in 2005, and became the director for the Center for Embedded Systems at ASU in 2006, which became an NSF IUCRC Center in 2009.  He became a fellow of the IEEE for “contributions to low power and energy-efficient design of digital circuits and systems.” His work spans several areas in design automation and computer-aided design for digital integrated circuit and systems, focusing on energy management of circuits and systems. Specific topics include: energy optimization of battery powered computing systems and wireless sensor networks; system level dynamic power and thermal management of multicore processors and system-on-chip (SoC); statistical methods for the analysis of process variations; statistical optimization of performance, power and leakage; new circuit architectures of threshold logic circuits for the design of ASICs and FPGAs; technology mapping with threshold logic circuits; the implementation of threshold logic using spintronic devices, and non-Boolean computation in emerging technologies. His teaching experience includes both undergraduate and graduate courses in digital systems design and testing, VLSI design, CAD algorithms for VLSI, advanced synthesis and verification methods, computer architecture, and discrete mathematics.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, EEE 790Reading and Conference, EEE 592Research, EEE 690Reading and Conference, CSE 120Digital Design Fundamentals, EEE 595Continuing Registration, EEE 492Honors Directed Study, EEE 795Continuing Registration, CSE 230Computer Org/Assemb Lang Prog, CSE 492Honors Directed Study, EEE 230Computer Org/Assemb Lang Prog, EEE 599Thesis, CEN 599Thesis, CEN 580Practicum, EEE 792Research, CSE 599Thesis, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CSE 320Design/Syn Digital Hardware, CEN 795Continuing Registration, EEE 499Individualized Instruction, EEE 590Reading and Conference, EEE 493Honors Thesis, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, CEN 503Algo for Comp-Aided Desn of Di, CEN 690Reading and Conference, CEN 691Seminar, CSE 790Reading and Conference, Course NumberCourse Title, CEN 590Reading and Conference, EEE 799Dissertation, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Ruoyu Wang			 Link:https://isearch.asu.edu/profile/3322258/			 Bio:Ruoyu (Fish) Wang is an assistant professor in the School of Computing and Augmented Intelligence at ASU. He conducts research on system security, with focus on automated binary program analysis and reverse engineering of software. He's the co-founder and core developer of the binary analysis platform, angr. He won third place with team Shellphish in the DARPA Cyber Grand Challenge in 2018.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CSE 194Special Topics, CSE 492Honors Directed Study, CSE 590Reading and Conference, CSE 545Software Security, CSE 790Reading and Conference, Course NumberCourse Title, CSE 599Thesis, ASU 101-CSEThe ASU Experience, CSE 365Information Assurance, CSE 792Research, CSE 799Dissertation, CSE 580Practicum, CSE 795Continuing Registration
Name:Yalin Wang			 Link:https://isearch.asu.edu/profile/1638618			 Bio:Professor Yalin Wang joined School of Computing and Augmented Intelligence (SCAI) at Arizona State University in 2010. He took his postdoctoral training in mathematics and neuroimaging at University of California, Los Angeles. Between 2004 and 2008, he was a cofounder and the CTO of Geometric Informatics, Inc., a NIST Advanced Technology Program Award recipient. He was promoted to associate professor in 2017 and received the“2016 Best Junior Faculty Researcher Award” from ASU CIDSE. He has published more than 200 peer-reviewed journal and conference papers. Dr. Wang's research interests include medical imaging, computer vision, machine learning, computer graphics, geometric modeling, and statistical pattern recognition.			Course Taught:CSE 493Honors Thesis, CEN 799Dissertation, CSE 492Honors Directed Study, CSE 570Advanced Computer Graphics I, CEN 580Practicum, CSE 599Thesis, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, CSE 494Special Topics, CEN 795Continuing Registration, DSE 799Dissertation, DSE 792Research, CSE 595Continuing Registration, CSE 580Practicum, CSE 220Programming for Computer Engr, CSE 795Continuing Registration, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Marvin Woodfill			 Link:https://isearch.asu.edu/profile/109042			 Bio:Marvin Woodfill joined the ASU faculty in 1966 in electrical engineering and helped to found the Department of Computer Science and Engineering in 1980. He retired from ASU in 1999, earning the title of Professor Emeritus. He began consulting for the City of Prescott in 1979, where he still consults today. Marvin Woodfill Career Highlights:			Course Taught:
Name:Guoliang Xue			 Link:https://isearch.asu.edu/profile/378651			 Bio:Guoliang (Larry) Xue is a professor of computer Science and engineering in the School of Computing and Augmented Intelligence at Arizona State University. He received his doctorate in computer science from the University of Minnesota in 1991 and has held previous positions at the Army High Performance Computing Research Center and the University of Vermont. His research interests include resource allocation, survivability and security of computer networks, with applications to Cloud Computing, Internet of Things (IoT), Crowdsourcing, and Sensor Networks. He has published more than 300 papers in these areas. His research has been continuously supported by federal agencies including NSF, ARO and DOE. He was elevated to IEEE Fellow (Class of 2011), and served as the vice president of the IEEE Communications Society in charge of conferences from January 2016 to December 2017. He also served on the Fellow Evaluation Committee of the IEEE Communications Society in years 2016, 2017 and 2018. Xue received many Best Paper Awards from various IEEE conferences. He was a Keynote Speaker in IFIP WWIC2018, IEEE ICNC2014, and IEEE LCN2011. He has been cited for more than 13,000 times (according to Google Scholar), including one paper with 1,700+ citations, three papers with 600+ citations each, six papers with 400+ citations each, and 28 papers with 100+ citations each.  			Course Taught:CSE 584Internship, CEN 790Reading and Conference, CSE 590Reading and Conference, CSE 790Reading and Conference, CSE 575Statistical Machine Learning, CSE 310Data Structures and Algorithms, Course NumberCourse Title, CEN 580Practicum, CSE 599Thesis, CEN 590Reading and Conference, CEN 584Internship, CSE 792Research, CSE 799Dissertation, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration
Name:Yezhou Yang			 Link:https://isearch.asu.edu/profile/3020558			 Bio:Dr. 'YZ' Yezhou Yang, is a tenured Associate professor in computer science and engineering in the School of Computing and Augmented Intelligence at Arizona State University. He earned his doctorate in computer science in 2016 from the University of Maryland at College Park. His dissertation research on computational tools and the underlying mechanisms of robotic manipulation actions has been featured in MIT Technology Review, IEEE Spectrum, Time magazine and the Washington Post. Yang’s research interests also include computer vision, autonomous intelligent robots and artificial intelligence.			Course Taught:CSE 493Honors Thesis, CSE 598Special Topics, CEN 799Dissertation, ASU 101-CAIThe ASU Experience, CSE 492Honors Directed Study, CSE 408Multimedia Information Systems, CEN 599Thesis, CEN 580Practicum, CSE 599Thesis, CSE 499Individualized Instruction, CEN 584Internship, CSE 590Reading and Conference, CEN 790Reading and Conference, MAE 593Applied Project, CEN 795Continuing Registration, SER 599Thesis, EEE 590Reading and Conference, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, EGR 599Thesis, CSE 584Internship, CEN 690Reading and Conference, CSE 790Reading and Conference, CSE 310Data Structures and Algorithms, Course NumberCourse Title, CEN 590Reading and Conference, CSE 591Seminar, EGR 593Applied Project, ASU 101-CSEThe ASU Experience, CSE 792Research, CEN 595Continuing Registration, CSE 799Dissertation, CSE 571Artificial Intelligence, CEN 792Research
Name:Yingzhen Yang			 Link:https://isearch.asu.edu/profile/3520440/			 Bio:Yingzhen Yang is an assistant professor in the School of Computing and Augmented Intelligence. His research interests lie in statistical machine learning, deep learning, optimization for machine learning and theoretical computer science. Recent works include optimization and generalization analysis of Deep Neural Networks (DNNs), compression of DNNs and AutoML. He was a best paper finalist at the European Conference on Computer Vision (ECCV) 2016 and received the 2010 Carnegie Institute of Technology Dean’s Tuition Fellowship.			Course Taught:CSE 584Internship, CSE 493Honors Thesis, CSE 598Special Topics, CSE 492Honors Directed Study, CSE 790Reading and Conference, CSE 575Statistical Machine Learning, CSE 310Data Structures and Algorithms, CSE 475Found of Machine Learning, Course NumberCourse Title, CSE 494Special Topics, CSE 599Thesis, CSE 792Research, CSE 799Dissertation, CSE 580Practicum, CSE 795Continuing Registration
Name:Stephen Yau			 Link:https://isearch.asu.edu/profile/94570			 Bio:Professor Stephen S. Yau joined ASU in 1994. He is a professor in the School of Computing and Augmented Intelligence. He was professor and chair of the Department of Computer and Information Sciences at the University of Florida from 1988 to 1994. In 1961, he joined the faculty of Northwestern University, Evanston, Ill., and later became the Walter P. Murphy Professor and Chair of the Department of Electrical Engineering and Computer Science there. He has published more than 210 journal and conference papers and his research has been supported by NSF, AFRL, ONR, ARO, NIH and companies including Hitachi and Fujitsu.			Course Taught:CEN 799Dissertation, SER 595Continuing Registration, CEN 580Practicum, CSE 599Thesis, CSE 590Reading and Conference, CEN 790Reading and Conference, CEN 795Continuing Registration, SER 580Practicum, SER 599Thesis, CSE 595Continuing Registration, CSE 580Practicum, CSE 543Info Assurance & Security, CSE 795Continuing Registration, CSE 584Internship, CSE 545Software Security, CSE 790Reading and Conference, Course NumberCourse Title, CSE 792Research, CSE 799Dissertation, CEN 792Research
Name:Yu Zhang			 Link:https://isearch.asu.edu/profile/2206334			 Bio:Yu (Tony) Zhang, an assistant professor in computer science and engineering in the School for Computing and Augmented Intelligence at Arizona State University. He earned his master’s degree and doctorate in computer science from the University of Tennessee, Knoxville. Previously, Zhang worked as a postdoctoral research scholar and a research assistant professor at Arizona State University. Zhang’s research interests include distributed robot systems, human-robot interaction, multi-agent systems, human-aware planning, multi-agent planning and automated planning and scheduling.			Course Taught:CEN 799Dissertation, CSE 492Honors Directed Study, CEN 599Thesis, CEN 580Practicum, CSE 259Logic in Computer Science, CSE 599Thesis, CSE 590Reading and Conference, CEN 790Reading and Conference, EEE 590Reading and Conference, CSE 595Continuing Registration, CSE 580Practicum, CSE 795Continuing Registration, EGR 599Thesis, CSE 584Internship, CSE 790Reading and Conference, Course NumberCourse Title, CSE 591Seminar, CSE 471Intro Artificial Intelligence, CSE 792Research, CSE 799Dissertation, CSE 571Artificial Intelligence, CEN 792Research
